agegroup,males,propmales,females,propfemales,popage,propage
1,44456332.00,0.53,39476105.00,0.47,83932437.00,0.06
2,46320144.00,0.53,40415039.00,0.47,86735183.00,0.06
3,45349923.00,0.54,38912828.00,0.46,84262751.00,0.06
4,44103122.00,0.54,38238737.00,0.46,82341859.00,0.06
5,46273865.00,0.53,40884302.00,0.47,87158167.00,0.06
6,51522843.00,0.53,46466160.00,0.47,97989003.00,0.07
7,66443228.00,0.52,62295742.00,0.48,128738970.00,0.09
8,51345507.00,0.51,48745948.00,0.49,100091455.00,0.07
9,49289359.00,0.51,46984787.00,0.49,96274146.00,0.07
10,61173349.00,0.51,58664268.00,0.49,119837617.00,0.08
11,62348020.00,0.51,61097362.00,0.49,123445382.00,0.09
12,49958045.00,0.51,48782446.00,0.49,98740491.00,0.07
13,38917285.00,0.50,38596854.00,0.50,77514139.00,0.05
14,36526788.00,0.49,37622978.00,0.51,74149766.00,0.05
15,21425163.00,0.48,23524526.00,0.52,44949689.00,0.03
16,12207276.00,0.46,14337340.00,0.54,26544616.00,0.02
17,6883629.00,0.43,9297788.00,0.57,16181417.00,0.01
18,2843084.00,0.38,4738693.00,0.63,7581777.00,0.01
19,731228.00,0.32,1573796.00,0.68,2305024.00,0.00
20,116377.00,0.24,358816.00,0.76,475193.00,0.00
21,12773.00,0.17,61919.00,0.83,74692.00,0.00